S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,Predicted Soil Moisture
0.09445,0.1422,0.24675,0.2784,0.29975,0.220833,0.264324,0.299785,0.278665,2021,1,0.10925256
0.25565,0.2837,0.2965,0.3082,0.3052,0.232163,0.295688,0.358415,0.325814,2020,4,0.07304653
0.1349,0.1842,0.3039,0.354,0.3489,0.513845,0.610838,0.534333,0.39059,2023,7,0.18074057
0.241,0.2717,0.29205,0.3095,0.303,0.171773,0.309864,0.271598,0.203783,2021,6,0.10516764
0.0698,0.1259,0.2516,0.2898,0.2925,0.060563,0.310386,0.198929,0.10932,2019,10,0.12856413
0.1687,0.1959,0.2194,0.2351,0.2478,0.250106,0.295949,0.358704,0.341956,2022,11,0.10328869
0.2146,0.247,0.27455,0.29195,0.2994,0.183941,0.274526,0.318416,0.283876,2022,4,0.056137368
0.2004,0.2282,0.2529,0.2694,0.2899,0.129148,0.343318,0.224999,0.181178,2019,1,0.08922983
0.2017,0.2194,0.2239,0.2351,0.2471,0.154159,0.267858,0.293776,0.239684,2019,1,0.085744835
0.16345,0.1997,0.27365,0.30145,0.3167,0.49399,0.53007,0.478205,0.410253,2022,1,0.12187018
0.07195,0.12065,0.24335,0.32305,0.3177,0.072264,0.337694,0.153265,0.086701,2023,9,0.13628657
0.1528,0.1832,0.2081,0.22595,0.24195,0.142925,0.242695,0.262454,0.196316,2022,4,0.060821965
0.2249,0.2567,0.2838,0.3028,0.3286,0.187448,0.293048,0.333445,0.238955,2021,12,0.10033944
0.26475,0.2963,0.3181,0.33145,0.3199,0.607868,0.65954,0.503258,0.403735,2019,7,0.11800457
0.2035,0.2352,0.2769,0.2945,0.3061,0.19094,0.296746,0.301036,0.247026,2019,10,0.12355298
0.0905,0.1295,0.1971,0.2221,0.2418,0.212129,0.299634,0.33724,0.289913,2022,11,0.100050755
0.10505,0.14485,0.184,0.205,0.22935,0.651895,0.655566,0.341131,0.297778,2020,1,0.118949816
0.2703,0.31,0.3288,0.3474,0.3539,0.210066,0.297613,0.328619,0.275365,2022,11,0.09127053
0.08615,0.1191,0.1918,0.2261,0.24295,0.056616,0.305876,0.157803,0.097688,2020,1,0.11605039
0.1373,0.1727,0.2362,0.26265,0.2691,0.12582,0.270635,0.228038,0.18027,2022,10,0.11648896
0.2568,0.2838,0.2958,0.3073,0.3127,0.184491,0.233634,0.30908,0.251358,2019,11,0.12675793
0.19765,0.23905,0.29775,0.31945,0.33435,0.169339,0.326103,0.302164,0.244978,2020,10,0.10923969
0.0934,0.1358,0.26315,0.31925,0.3341,0.065925,0.34252,0.162326,0.101139,2021,2,0.085254885
0.0365,0.0896,0.31845,0.4213,0.43355,0.057125,0.421459,0.152193,0.089713,2023,2,0.08833181
0.2466,0.2658,0.26845,0.28005,0.2869,0.307939,0.358841,0.428169,0.390838,2019,5,0.07301046
0.2356,0.2563,0.2613,0.2703,0.2764,0.525739,0.535873,0.257724,0.241829,2021,4,0.06880026
0.2306,0.2615,0.2833,0.3029,0.3217,0.20458,0.31007,0.383908,0.328578,2021,4,0.067071
0.2753,0.3119,0.3258,0.3477,0.3486,0.236274,0.311665,0.33592,0.269081,2022,6,0.078418516
0.3231,0.3525,0.3508,0.3696,0.3626,0.26156,0.318513,0.402003,0.339619,2019,5,0.07654759
0.2593,0.28025,0.28005,0.28995,0.28965,0.234074,0.279641,0.359831,0.326983,2020,5,0.0738258
0.2065,0.2354,0.2534,0.2708,0.2727,0.359859,0.436268,0.339138,0.267748,2019,6,0.083161265
0.22305,0.26145,0.2838,0.31105,0.34425,0.20766,0.32976,0.347264,0.230018,2022,12,0.09752345
0.2071,0.2437,0.2715,0.2877,0.2955,0.196743,0.284701,0.305973,0.259745,2023,3,0.09439352
0.1794,0.2212,0.2703,0.2942,0.3073,0.183419,0.303608,0.317949,0.279476,2020,10,0.10902968
0.2201,0.2749,0.3469,0.3732,0.372,0.196495,0.39312,0.341118,0.25353,2023,9,0.13414724
0.1235,0.1571,0.2041,0.2301,0.2463,0.117955,0.259663,0.299043,0.22229,2021,11,0.1031369
0.2976,0.3219,0.3283,0.3397,0.3491,0.280851,0.337034,0.403556,0.376538,2021,4,0.066480026
0.14395,0.18485,0.26145,0.2847,0.30035,0.176104,0.379411,0.223115,0.157363,2021,1,0.10629085
0.122,0.1895,0.3113,0.3594,0.3549,0.251578,0.438014,0.380883,0.285499,2019,9,0.13776481
0.1902,0.22,0.2458,0.2661,0.27105,0.254053,0.300308,0.375713,0.35847,2020,3,0.1023185
0.2844,0.3138,0.319,0.3315,0.3327,0.24847,0.3038,0.429723,0.37167,2022,4,0.06032451
0.2421,0.2856,0.3427,0.3725,0.3615,0.636784,0.649819,0.232149,0.26794,2021,7,0.11519102
0.29655,0.32385,0.32825,0.34385,0.32305,0.377129,0.479718,0.382258,0.277579,2019,7,0.1278278
0.0975,0.142,0.2419,0.2733,0.2786,0.346741,0.443376,0.269466,0.249804,2019,1,0.09335212
0.09035,0.1254,0.1561,0.17495,0.1897,0.11306,0.235201,0.258824,0.191875,2022,10,0.12320921
0.3106,0.3427,0.3494,0.3647,0.36345,0.270759,0.334573,0.405234,0.363943,2022,5,0.061158687
0.16585,0.2014,0.24775,0.2693,0.2686,0.142719,0.273454,0.279985,0.210603,2020,6,0.10306144
0.15825,0.1818,0.19715,0.2167,0.2244,0.57231,0.621343,0.324095,0.281938,2019,6,0.08790577
0.2975,0.3361,0.36,0.3811,0.36465,0.083003,0.30391,0.187984,0.111424,2021,9,0.15479976
0.2533,0.3005,0.3623,0.3827,0.3629,0.24154,0.303126,0.357893,0.319681,2019,8,0.14843248
0.2253,0.2611,0.2902,0.3033,0.3068,0.205886,0.290985,0.31755,0.27839,2023,11,0.10016036
0.233,0.25755,0.28225,0.29725,0.3134,0.246023,0.405206,0.191188,0.163234,2021,1,0.103766166
0.32785,0.35855,0.35535,0.36985,0.35295,0.23989,0.303979,0.374145,0.321029,2020,6,0.11761624
0.1065,0.1665,0.2393,0.2707,0.2858,0.098196,0.293763,0.207619,0.129863,2022,10,0.115489826
0.1487,0.1673,0.1826,0.1994,0.2127,0.13671,0.220709,0.31128,0.245651,2020,4,0.07880146
0.2542,0.2948,0.3361,0.3542,0.3473,0.24407,0.34208,0.389531,0.336553,2023,6,0.12774488
0.2634,0.2958,0.3079,0.3183,0.3149,0.221919,0.282378,0.342616,0.310111,2023,5,0.083398275
0.07555,0.11065,0.163,0.18665,0.2103,0.259498,0.339976,0.387868,0.330956,2021,1,0.105167955
0.2345,0.27,0.2808,0.2955,0.3028,0.206148,0.294024,0.360519,0.320094,2020,4,0.07289905
0.087,0.1436,0.2735,0.3296,0.3296,0.359694,0.451269,0.375506,0.30325,2022,9,0.15662818
0.13785,0.18645,0.2827,0.31485,0.3161,0.071081,0.268476,0.19358,0.114311,2019,11,0.12797824
0.11055,0.1442,0.19815,0.2148,0.22545,0.168211,0.259443,0.29643,0.256033,2019,12,0.11425095
0.0633,0.11185,0.2778,0.33585,0.3587,0.250684,0.306935,0.37343,0.354923,2021,1,0.101544484
0.25275,0.2795,0.29175,0.30685,0.31735,0.254121,0.329994,0.389903,0.356325,2021,4,0.061513092
0.1208,0.15375,0.21545,0.2395,0.2547,0.10855,0.27729,0.24286,0.175293,2020,11,0.0996821
0.1809,0.21055,0.2321,0.24945,0.265,0.133933,0.227584,0.291164,0.25001,2022,11,0.10122458
0.2397,0.2726,0.2904,0.3027,0.3129,0.209145,0.284839,0.338601,0.307815,2022,3,0.07798456
0.1579,0.18785,0.22115,0.2405,0.251,0.15101,0.254149,0.311445,0.273261,2022,10,0.119703636
0.1842,0.202,0.21395,0.2225,0.23155,0.387923,0.497978,0.390686,0.313288,2021,12,0.10445486
0.2315,0.26605,0.28465,0.30485,0.30575,0.219458,0.333033,0.408341,0.342025,2021,5,0.08401789
0.23415,0.2664,0.29775,0.31585,0.33665,0.238336,0.341021,0.385736,0.341173,2022,12,0.09862025
0.13305,0.1787,0.24495,0.27135,0.28905,0.12824,0.290078,0.292855,0.231228,2022,10,0.1229505
0.1186,0.1623,0.2611,0.2895,0.314,0.128281,0.232548,0.217409,0.177438,2022,1,0.12361781
0.30515,0.3349,0.3392,0.35375,0.35545,0.276919,0.340623,0.423893,0.37981,2022,5,0.05972313
0.2043,0.2335,0.2647,0.2825,0.3015,0.188094,0.292525,0.334655,0.284949,2021,11,0.0988107
0.0883,0.1196,0.1796,0.2002,0.2102,0.174633,0.280384,0.334834,0.284743,2020,12,0.10452997
0.15565,0.19365,0.2516,0.28135,0.27815,0.150323,0.33372,0.33724,0.249048,2023,7,0.16341737
0.132,0.1566,0.206,0.2242,0.2319,0.170095,0.282776,0.222744,0.199273,2020,11,0.10045785
0.0731,0.118,0.2061,0.2314,0.2331,0.067603,0.258425,0.187406,0.112538,2023,10,0.11371762
0.1679,0.2034,0.2347,0.2588,0.2731,0.185729,0.286448,0.307265,0.228258,2022,4,0.05764209
0.1472,0.1883,0.2498,0.2784,0.2911,0.140161,0.301201,0.240536,0.165956,2023,4,0.081423625
0.2206,0.2702,0.3149,0.3419,0.3452,0.103875,0.215168,0.248168,0.166135,2023,8,0.14006211
0.095,0.1361,0.2308,0.2642,0.2689,0.080871,0.273096,0.241595,0.157143,2020,10,0.1109381
0.2006,0.2351,0.2629,0.2834,0.2801,0.080225,0.279958,0.134235,0.0893,2022,7,0.19420646
0.1072,0.134,0.1629,0.1787,0.184,0.106213,0.215195,0.186086,0.147078,2023,3,0.100973494
0.2278,0.26865,0.3139,0.3378,0.32,0.168239,0.327464,0.315309,0.249996,2020,7,0.124395825
0.11895,0.14875,0.19215,0.21525,0.2263,0.09128,0.23989,0.244923,0.194818,2020,11,0.101332605
0.1978,0.2286,0.24845,0.2658,0.27125,0.183419,0.277056,0.29797,0.226525,2022,5,0.057506926
0.083,0.152,0.3074,0.3604,0.3644,0.161171,0.2961,0.221149,0.155988,2022,9,0.15104465
0.2615,0.29205,0.3097,0.3218,0.33,0.244785,0.313893,0.354235,0.320108,2022,4,0.054783043
0.18595,0.2284,0.26395,0.28835,0.2731,0.242764,0.305409,0.372578,0.314718,2019,8,0.14523563
0.14695,0.2001,0.3125,0.35685,0.34495,0.215745,0.344129,0.33823,0.279064,2021,8,0.12221653
0.1437,0.1929,0.29115,0.326,0.31745,0.061415,0.308283,0.193965,0.101208,2019,9,0.12777501
0.15055,0.1688,0.1765,0.1844,0.19085,0.212706,0.256143,0.183433,0.165269,2021,4,0.06676099
0.12075,0.1615,0.23265,0.26385,0.28505,0.11779,0.273825,0.272326,0.194419,2021,2,0.08663699
0.2844,0.3064,0.30685,0.31605,0.3207,0.094993,0.350096,0.246724,0.159769,2021,10,0.12792209
0.22375,0.2789,0.35535,0.3906,0.3884,0.319283,0.450705,0.336773,0.274045,2023,8,0.13041478
0.23115,0.2534,0.26445,0.27505,0.2837,0.225673,0.267624,0.298204,0.262921,2019,2,0.08463343
0.0767,0.1103,0.2269,0.286,0.29645,0.069748,0.295481,0.178826,0.103641,2022,10,0.11815341
0.1318,0.1845,0.3,0.3431,0.3293,0.248663,0.404244,0.335439,0.267844,2020,8,0.15733981
0.2075,0.24135,0.2782,0.2962,0.31275,0.193003,0.294918,0.325525,0.281278,2020,11,0.09863443
0.23895,0.2732,0.29135,0.30775,0.3101,0.294739,0.360863,0.36881,0.326474,2020,3,0.09880126
0.0675,0.1076,0.1705,0.19455,0.21315,0.066723,0.224889,0.219224,0.135473,2022,2,0.10322072
0.1964,0.2196,0.2299,0.2388,0.2475,0.192865,0.26816,0.262646,0.224229,2020,3,0.09928183
0.1889,0.2388,0.3204,0.3508,0.3541,0.587408,0.655773,0.252018,0.236865,2023,6,0.12992674
0.20735,0.2415,0.2714,0.2911,0.30185,0.182979,0.28884,0.361894,0.31073,2020,4,0.07333842
0.2868,0.3143,0.31095,0.3267,0.3134,0.243369,0.297255,0.383811,0.330585,2020,6,0.10252212
0.2285,0.2561,0.2875,0.3036,0.3165,0.211318,0.291494,0.325663,0.300143,2022,2,0.08395885
0.23365,0.26025,0.26775,0.2854,0.2682,0.042523,0.410583,0.153045,0.07379,2021,9,0.1588187
0.24315,0.27525,0.2994,0.31735,0.33365,0.223005,0.307155,0.364163,0.282818,2023,2,0.09154457
0.25865,0.2792,0.28225,0.2915,0.30245,0.126095,0.196055,0.200043,0.170205,2019,1,0.09952263
0.1516,0.18935,0.23045,0.2526,0.25525,0.12439,0.234308,0.239423,0.186719,2023,10,0.11589099
0.1863,0.2339,0.2995,0.3285,0.339,0.227226,0.298438,0.378463,0.350688,2020,3,0.10360236
0.3144,0.34195,0.34215,0.35265,0.34505,0.274746,0.323036,0.394894,0.367325,2020,4,0.082449
0.0931,0.1379,0.2691,0.3067,0.3133,0.237456,0.36353,0.329183,0.288826,2019,1,0.096851364
0.2639,0.2942,0.3006,0.3135,0.2985,0.128213,0.33735,0.269178,0.17708,2019,7,0.11173966
0.0836,0.13845,0.2915,0.3317,0.34145,0.063918,0.206629,0.179431,0.108014,2020,12,0.10810911
