S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.0603,0.108,0.2551,0.2815,0.2851,0.324906,0.39466,0.295,0.258521,2019,1,0.081852
0.0591,0.1071,0.2585,0.3099,0.3276,0.216116,0.308296,0.330599,0.289225,2019,1,0.093037
0.2675,0.2889,0.2959,0.3072,0.3184,0.236164,0.290023,0.312971,0.273949,2019,1,0.090812
0.1166,0.1626,0.2711,0.30535,0.32505,0.06532,0.35275,0.152028,0.087196,2019,1,0.057473
0.1483,0.1768,0.2017,0.2185,0.2368,0.366459,0.42909,0.437753,0.385819,2019,1,0.093961
0.1169,0.14935,0.19085,0.2126,0.22785,0.234555,0.297571,0.341379,0.297819,2019,1,0.075692
0.2609,0.2773,0.2807,0.2904,0.2996,0.15189,0.292786,0.32151,0.243204,2019,1,0.101237
0.1271,0.1846,0.2986,0.3337,0.3487,0.232974,0.316876,0.373196,0.339564,2019,1,0.089775
0.21445,0.2507,0.2916,0.30975,0.3228,0.215401,0.270649,0.335356,0.306578,2019,1,0.020099
0.2563,0.2896,0.3178,0.3332,0.3507,0.279641,0.441685,0.32063,0.243809,2019,1,0.098419
0.1829,0.2103,0.2376,0.2477,0.2559,0.198888,0.283423,0.286008,0.264021,2019,1,0.08711
0.2668,0.2812,0.2828,0.2902,0.2994,0.42271,0.468663,0.269233,0.276603,2019,1,0.070753
0.1954,0.2329,0.3002,0.3204,0.335,0.272161,0.31667,0.373581,0.345573,2019,1,0.022842
0.2575,0.282,0.2936,0.30515,0.31885,0.116388,0.226333,0.206079,0.148453,2019,1,0.033517
0.08595,0.1297,0.2544,0.29705,0.3088,0.219499,0.276603,0.32987,0.268394,2019,1,0.081081
0.1399,0.20215,0.3719,0.41865,0.4314,0.147834,0.272643,0.233111,0.189153,2019,1,0.092645
0.2962,0.3194,0.32465,0.3368,0.35695,0.07555,0.336429,0.170411,0.105965,2019,1,0.087051
0.10705,0.1455,0.2435,0.2715,0.2918,0.225686,0.269673,0.34923,0.325979,2019,1,0.16461
0.2193,0.2324,0.2309,0.2386,0.2503,0.214343,0.29863,0.276218,0.261326,2019,1,0.085906
0.2347,0.25815,0.27445,0.28785,0.3068,0.220296,0.29005,0.343634,0.305381,2019,1,0.024111
0.26355,0.28705,0.2939,0.3034,0.31335,0.165626,0.25782,0.27135,0.232218,2019,1,0.080395
0.1813,0.2083,0.2244,0.23935,0.24985,0.095446,0.285306,0.170851,0.113803,2019,1,0.092824
0.1441,0.161,0.1718,0.183,0.1965,0.055585,0.287905,0.131966,0.076265,2019,1,0.066749
0.0957,0.1371,0.2208,0.2427,0.2567,0.465624,0.566246,0.257421,0.250161,2019,1,0.091988
0.1239,0.1593,0.2208,0.2382,0.242,0.407338,0.480543,0.386905,0.317399,2019,1,0.090167
0.1689,0.214,0.3075,0.3394,0.3587,0.185935,0.269549,0.279091,0.237223,2019,1,0.0267
0.5155,0.5478,0.5249,0.5262,0.5409,0.128061,0.246834,0.262578,0.219884,2019,1,0.097325
0.0757,0.1227,0.2847,0.3335,0.3361,0.307114,0.401535,0.337171,0.302068,2019,1,0.186443
0.0805,0.1321,0.2735,0.3166,0.3174,0.105456,0.261216,0.178758,0.137466,2019,1,0.068277
0.04895,0.09785,0.27895,0.3454,0.36695,0.224861,0.277043,0.349574,0.30105,2019,1,0.091672
0.1359,0.1725,0.2074,0.2267,0.2471,0.106749,0.256005,0.228533,0.161556,2019,1,0.112506
0.2515,0.2723,0.2758,0.2853,0.29545,0.225535,0.280576,0.34329,0.315144,2019,1,0.087066
0.3016,0.3292,0.3409,0.3529,0.3706,0.146115,0.256899,0.260378,0.18236,2019,1,0.075483
0.243,0.2632,0.2745,0.284,0.3035,0.127511,0.306729,0.292044,0.222579,2019,1,0.064661
0.1193,0.15745,0.23595,0.2613,0.2699,0.210685,0.32833,0.32657,0.27124,2019,1,0.076374
0.2827,0.3021,0.3037,0.3143,0.3226,0.42546,0.473668,0.156414,0.091225,2019,1,0.099448
0.1578,0.1974,0.2663,0.2851,0.2936,0.260075,0.306248,0.382808,0.349175,2019,1,0.066749
0.2459,0.2759,0.30745,0.32085,0.3266,0.248278,0.301848,0.3533,0.313013,2019,1,0.066734
0.1159,0.1459,0.2,0.2248,0.2415,0.068331,0.362471,0.160278,0.097468,2019,1,0.098757
0.1807,0.1938,0.1959,0.2018,0.207,0.501016,0.607125,0.324893,0.308365,2019,1,0.092444
0.22125,0.24085,0.247,0.25955,0.276,0.072993,0.331823,0.136916,0.083511,2019,1,0.067582
0.2911,0.3134,0.3218,0.3326,0.3487,0.076843,0.296251,0.156744,0.100809,2019,1,0.0828
0.213,0.234,0.2524,0.2608,0.2682,0.213614,0.273083,0.339811,0.302233,2019,1,0.056079
