S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.19575,0.2162,0.2376,0.25085,0.26455,0.13671,0.20634,0.22053,0.191298,2019,1,0.127836
0.2382,0.2516,0.253,0.2615,0.2733,0.186911,0.2653,0.332922,0.263678,2019,1,0.068964
0.1446,0.17085,0.19365,0.2095,0.2219,0.531871,0.582788,0.266029,0.167482,2019,1,0.166194
0.1049,0.1388,0.2045,0.2286,0.246,0.149979,0.252801,0.279463,0.205694,2019,1,0.072577
0.1152,0.1623,0.2822,0.3126,0.3238,0.120774,0.246064,0.245624,0.19204,2019,1,0.066667
0.12415,0.1323,0.11765,0.1239,0.12315,0.069294,0.292553,0.162299,0.104095,2019,1,0.077141
0.14065,0.16105,0.17005,0.17775,0.18715,0.085739,0.279985,0.17587,0.123524,2019,1,0.074493
0.1234,0.15765,0.23285,0.25815,0.27725,-0.00028,0.000406,0.00878,0.00922,2019,1,0.023264
0.0993,0.1541,0.2279,0.2597,0.2825,0.078657,0.293721,0.200263,0.133424,2019,1,0.068421
0.1903,0.2277,0.2743,0.2972,0.3262,0.043072,0.015325,0.008849,0.01703,2019,1,0.090271
0.076,0.1157,0.2256,0.2575,0.2688,0.112221,0.067451,0.014665,0.011021,2019,1,0.025151
0.08625,0.1452,0.2396,0.26915,0.28855,0.119,0.116113,0.014775,0.010801,2019,1,0.053579
0.0828,0.1232,0.2192,0.2493,0.2678,0.216048,0.365826,0.246614,0.200097,2019,1,0.019826
0.08615,0.1497,0.28025,0.3165,0.33285,0.114078,0.078231,0.013978,0.010568,2019,1,0.031973
0.15225,0.1807,0.20215,0.22035,0.23715,0.088544,0.218564,0.179404,0.123826,2019,1,0.062139
0.1513,0.167,0.1745,0.1835,0.1921,0.284261,0.409056,0.261643,0.22119,2019,1,0.172683
0.07685,0.1057,0.162,0.18235,0.19875,0.075303,0.18731,0.163083,0.112276,2019,1,0.055037
0.246,0.2611,0.26235,0.27125,0.28355,0.087293,0.311665,0.218096,0.150598,2019,1,0.074496
0.0804,0.1386,0.3349,0.3862,0.4059,0.020193,-0.00291,0.006264,0.007047,2019,1,0.052524
0.262,0.2769,0.2729,0.279,0.2919,0.189634,0.275874,0.312916,0.253668,2019,1,0.158133
0.0626,0.0965,0.1883,0.2189,0.2406,0.424278,0.468841,0.196316,0.105718,2019,1,0.09517
0.0944,0.1087,0.1213,0.1341,0.1475,0.110874,0.239615,0.20271,0.159948,2019,1,0.089679
0.22595,0.24515,0.25015,0.26065,0.27275,0.137686,0.264585,0.25617,0.190308,2019,1,0.09043
0.038,0.0282,0.0187,0.0173,0.0159,-0.00138,-0.00252,0.003775,0.00427,2019,1,0.024207
0.11515,0.1204,0.09305,0.0962,0.08765,0.083264,0.266593,0.222648,0.148948,2019,1,0.020499
0.1304,0.1569,0.1882,0.2058,0.2197,0.144039,0.218069,0.256376,0.191655,2019,1,0.182434
0.0875,0.1248,0.1919,0.2135,0.2255,-0.00245,-0.00173,0.007488,0.008175,2019,1,0.116567
0.19565,0.2157,0.226,0.239,0.256,0.077585,0.022778,0.016012,0.011255,2019,1,0.129623
0.1493,0.1832,0.2172,0.2359,0.2564,0.114641,0.211936,0.187145,0.148068,2019,1,0.17107
0.0947,0.1128,0.1272,0.1403,0.1534,0.082205,0.236714,0.153334,0.097577,2019,1,0.090089
0.0201,0.0185,0.0155,0.0141,0.0132,0.111768,0.19457,0.182113,0.146775,2019,1,0.216225
