S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.11235,0.1412,0.17525,0.19255,0.2067,0.101249,0.202834,0.269191,0.195808,2019,1,0.16825
0.0997,0.1472,0.2022,0.2149,0.2127,0.078589,0.188933,0.116099,0.071769,2019,1,0.170249
0.0965,0.1138,0.12795,0.1402,0.14655,0.098017,0.162216,0.161089,0.118161,2019,1,0.099197
0.1016,0.1336,0.1862,0.2075,0.2138,0.11438,0.221218,0.188163,0.129808,2019,1,0.179462
0.15085,0.17655,0.197,0.21105,0.22175,0.134661,0.215621,0.231283,0.180229,2019,1,0.066118
0.0249,0.02185,0.01665,0.0168,0.0151,0.008959,0.001575,0.00757,0.007157,2019,1,0.199061
0.1168,0.1434,0.1721,0.1871,0.1965,0.133506,0.24374,0.242599,0.183268,2019,1,0.125632
0.11725,0.1395,0.16205,0.17245,0.1802,0.10888,0.175733,0.170714,0.137205,2019,1,0.114994
0.13815,0.1696,0.20865,0.22515,0.2314,0.130921,0.210603,0.217189,0.157596,2019,1,0.118575
0.11195,0.1397,0.18025,0.19765,0.20655,0.1091,0.22174,0.203494,0.146968,2019,1,0.205013
0.1095,0.1361,0.164,0.1801,0.1932,0.108193,0.205185,0.197018,0.135885,2019,1,0.181993
0.144,0.17185,0.20805,0.22975,0.24285,0.122273,0.239326,0.215525,0.157637,2019,1,0.167734
0.1727,0.2014,0.21635,0.2318,0.2462,0.16597,0.265355,0.292099,0.220145,2019,1,0.181186
0.12075,0.1589,0.2251,0.2513,0.2636,0.109265,0.26035,0.265355,0.191366,2019,1,0.170437
0.1673,0.2099,0.2685,0.2936,0.3104,0.134923,0.290971,0.26849,0.18423,2019,1,0.17798
0.0983,0.125,0.1669,0.1897,0.2004,0.085313,0.224243,0.194047,0.124005,2019,1,0.122621
0.0858,0.1231,0.2109,0.2384,0.2482,0.075206,0.255125,0.17895,0.112469,2019,1,0.066158
0.1785,0.2021,0.2094,0.2184,0.223,0.153141,0.204608,0.206533,0.162491,2019,1,0.173706
0.11125,0.1453,0.18035,0.20235,0.2181,0.112318,0.201514,0.208746,0.136256,2019,1,0.162142
0.1258,0.1507,0.167,0.1826,0.1944,0.120787,0.20656,0.250643,0.185,2019,1,0.211805
0.1066,0.131,0.1585,0.1723,0.18,0.09898,0.163055,0.17213,0.131512,2019,1,0.173143
0.0747,0.12345,0.2079,0.24225,0.25205,0.069253,0.229646,0.146995,0.09238,2019,1,0.201431
0.12545,0.1412,0.1488,0.15845,0.1707,0.120636,0.176819,0.202091,0.174701,2019,1,0.097658
0.10615,0.13595,0.17355,0.1919,0.20565,0.101111,0.211139,0.250533,0.181219,2019,1,0.126272
0.1714,0.19735,0.2083,0.2235,0.2382,0.144355,0.221094,0.243658,0.177094,2019,1,0.15938
0.1851,0.2227,0.2554,0.2779,0.2952,0.143736,0.283038,0.343469,0.261203,2019,1,0.201586
0.13025,0.1664,0.2077,0.22845,0.2444,0.105676,0.208004,0.202435,0.149924,2019,1,0.116773
0.1398,0.1697,0.2036,0.2206,0.2319,0.118808,0.2367,0.230567,0.153815,2019,1,0.163884
0.0987,0.137,0.186,0.2056,0.21695,0.093164,0.221795,0.186966,0.130454,2019,1,0.190892
